#  i    j     Ez     Tz    Tzl
   4   79   19.4   19.4   19.4
   4   80   19.6   19.6   19.6
   4   81   21.6   21.6   21.6
   4   82   20.9   20.9   20.9
   4   83   18.5   18.5   18.5
   4   84   15.3   15.3   15.3
   4   85   13.9   13.9   13.9
   4   86   12.1   12.1   12.1
   4   87   10.2   10.2   10.2
   4   88   14.4   14.4   14.4
   4   89   18.2   18.2   18.2
   4   90   17.5   17.5   17.5
   4   91   16.8   16.8   16.8
   4   92   15.2   15.2   15.2
   4   93   12.6   12.6   12.6
   4   94    9.6    9.6    9.6
   4   95    9.2    9.2    9.2
   4   96    8.9    8.9    8.9
   4   97    7.1    7.1    7.1
   4   98    3.0    3.0    3.0
   4   99    2.9    2.9    2.9
   4  100    3.6    3.6    3.6
   5    1    2.7    2.7    2.7
   5    2    2.7    2.7    2.7
   5    3    2.6    2.6    2.6
   5    4    2.0    2.0    2.0
   5    5    3.2    3.7    3.2
   5    6    3.4    3.4    3.4
   5    7    3.5    3.5    3.5
   5    8    3.6    3.6    3.6
   5    9    3.9    3.9    3.9
   5   10    4.0    4.0    4.0
   5   11    3.8    3.8    3.8
   5   12    3.8    3.8    3.8
   5   13    4.6    4.6    4.6
   5   14    4.0    4.7    4.0
   5   15    3.6    3.9    3.6
   5   16    3.6    3.6    3.6
   5   17    3.6    3.6    3.6
   5   18    3.8    3.8    3.8
   5   19    3.8    3.8    3.8
   5   20    3.6    3.6    3.6
   5   21    4.0    4.0    4.0
   5   22    4.4    4.8    4.4
   5   23    4.0    7.2    4.0
   5   24    3.9    3.9    3.9
   5   25    3.9    3.9    3.9
   5   26    3.1    3.1    3.1
   5   27    1.6    1.6    1.6
   5   28    1.4    1.4    1.4
   5   29    1.5    1.5    1.5
   5   30    5.6    5.6    5.6
   5   31    5.9    5.9    5.9
   5   32    4.4    4.4    4.4
   5   33    4.3    4.3    4.3
   5   34    4.5    4.5    4.5
   5   35    4.6    4.6    4.6
   5   36    4.6    4.6    4.6
   5   37    4.5    4.5    4.5
   5   38    4.5    4.5    4.5
   5   39    4.7    4.7    4.7
   5   40    5.0    5.0    5.0
   5   41    4.7    4.7    4.7
   5   42    4.7    4.7    4.7
   5   43    4.6    4.6    4.6
   5   44    4.8    4.8    4.8
